tipo,unidad,clase,descripcion,modelo,proveedor1,moneda1,fecha1,proveedor2,precio2,fecha2,proveedor3,precio3,fecha3,precio1,marca,moneda2,moneda3
ACCESORIOS Y CONSUMIBLES,Pza,material,"Cintas de aislar de vinil, M-33X",19954,EL FERRETERO,MXN,17/01/2026,,0,,,0,,27,Trupper,,
CABLES DE CONTROL,mts,material,"Cable multiconductor 2X16, 600V uso rudo",TG-ID-MCM2X16-600V-UR,SURTIDOR ELECTRICO,MXN,05/11/2024,,0,,,0,,18,Indiana,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 350 kcmil THW-LS/THHW-LS 600V, Color Negro. GC",C15CI00350PA,,,,,0,,,0,,0,General Cable,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Switch Ethernet No Administrable Stratix 2100 8 Puertos,1783-USP8T,RISOUL,USD,06/03/2026,,0,,,0,,190,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Guardamotor Trifasico Para 20HP MS116-32, 25-32 Amp",1SAM250000R1015,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,29/01/2026,,0,,,0,,1.65,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cabezal luz piloto, color amarillo, 22mm",1SFA611400R1003,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,07/11/2025,,0,,,0,,82,ABB,,
CONDULETS Y ACCESORIOS,Pza,material,"Tapon Cachucha Reforzado De 2"" Galvanizada para agua, gas y vapor",3459,Ferremayoreo Elizondo,MXN,27/08/2024,,0,,,0,,55,CONEX,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Guia de equipamiento del suelo para familia AX.,2394100,,,,,0,,,0,,0,Rittal,,
ACCESORIOS ACERO INOXIDABLE,Pza,material,"Codo De Acero Inoxidable De 1�x 90� NPT, 3000Lbs","TG-CodoSS/1""",CMINOX,MXN,05/05/2025,,0,,,0,,750,Sin Especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor termomagnetico trifasico de 50A, 220V",QO350,BRICOS (MAYOREO ELECTRICO),MXN,06/02/2025,,0,,,0,,1.842,SquareD,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Mini-Contactor Trifasico 16A,127 VAC, B7-30-10-84",GJL1311001R8104,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,26/03/2026,,0,,,0,,345,ABB,,
TUBERIA CONDUIT,Tramo,material,"Tubo Conduit Pared Gruesa de Acero Galvanizado con Cople de 3/4"", OM",MET-1512,IMPULSORA,MXN,18/02/2026,,0,,,0,,180,OMEGA,,
CABLES DE COMUNICACI�N,Pza,material,"Cable De Comunicacion De 3 mts., Macho-Hembra",1202-H30,RISOUL,USD,16/01/2026,,0,,,0,,265,Allen Bradley,,
SISTEMA NEUMATICO,Pza,material,Conector Recto Rapido Roscado Tipo Racor QS-3/8,QS-3/8-12,RISOUL,MXN,26/11/2024,,0,,,0,,128,FESTO,,
CONDULETS Y ACCESORIOS,Pza,material,"Tuerca monitor de 1""",1033/ 4900247,BRICOS (MAYOREO ELECTRICO),MXN,16/01/2026,,0,,,0,,10,Crouse Hinds,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cronometro Digital de Pared,�Digitos�de�10cm",CR-1061,CITSA DIGITAL,MXN,16/12/2024,,0,,,0,,5,CITSA DIGITAL,,
CHAROLAS Y ACCESORIOS,Pza,material,"Codo A 90� De Ducto Con Vena Y Ca�uela Nema 5/12 IP-54 De 4""X4""",DVCC-490-P,Soportes Electricos,MXN,,,0,,,0,,0,Soportes El�ctricos,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Abrazadera Colgante Horizontal de 2"" Para Varilla Roscada de 1/4 o 3/8''",650286,ALCIONE,MXN,20/09/2024,,0,,,0,,20,Crouse Hinds,,
CABLES DE COMUNICACI�N,mts,material,"CABLE BACKNET MSTP RS485, 1 PAR TRENZADO, APANTALLADO, 22 AWG",3105A,MOUSER ELECTRONICS,USD,29/01/2025,,0,,,0,,14,BELDEN,,
CHAROLAS Y ACCESORIOS,Tramo,material,"Tramo Recto De Charola De 4"" (3.6 mts)",CHZ-040918A,Soportes Electricos,MXN,28/02/2025,,0,,,0,,640,Soportes El�ctricos,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Interruptor Termomagnetico XT1 3P 50A,1SDA067394R1,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,15/10/2025,,0,,,0,,1.72,ABB,,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,"Ancla Aleta de 3 Orificios con 2 Puntos de Fijaci�n. Para Fijaci�n de Mastiles con Retenida, add 3pza",SLM-ANG-2G,SYSCOM,USD,14/03/2025,,0,,,0,,18,SYSCOM TOWERS,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo T De de Aluminio De 1"", CL-I, Div2, serie 85, Con Recubrimiento de PVC e interior de uretano amarillo",RYC-T100A,RISOUL,MXN,10/02/2026,,0,,,0,,875,Repsa,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Segueta Bimet�lica Para Fierro Diente Fino Para Arco 12'',7.51E+12,HOME CENTER,MXN,19/09/2024,,0,,,0,,35,HECORT,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Frente Metalico de 56"" Sobreponer P/Tablero NQ/NF",NC56S,BRICOS (MAYOREO ELECTRICO),MXN,25/09/2024,ACOMEE,0,25/09/2024,abasteo,0,25/09/2024,5.23,SquareD,MXN,MXN
